Date,Open,High,Low,Close,Volume,Adj Close
2015-08-28,33.220001,33.810001,33.110001,33.639999,2538700,33.090335
2015-08-27,32.830002,33.759998,32.610001,33.52,4231700,32.972297
2015-08-26,31.50,32.459999,31.200001,32.369999,4737600,31.841086
2015-08-25,32.27,32.290001,30.82,30.82,3614000,30.316413
2015-08-24,30.65,32.369999,30.219999,31.16,4575200,30.650858
2015-08-21,33.470001,33.689999,32.75,32.790001,4808900,32.254225
2015-08-20,34.57,34.57,33.900002,33.93,3148500,33.375598
2015-08-19,35.639999,35.700001,34.880001,34.93,3779400,34.359258
2015-08-18,36.130001,36.27,35.540001,35.720001,3585200,35.136351
2015-08-17,36.27,36.27,35.82,36.220001,1627100,35.628181
2015-08-14,36.150002,36.50,36.02,36.470001,1559000,35.874096
2015-08-13,36.360001,36.59,35.950001,36.150002,1752500,35.559325
2015-08-12,36.720001,36.720001,35.310001,36.27,3089300,35.677363
2015-08-11,37.029999,37.200001,36.580002,36.93,2094000,36.326579
2015-08-10,37.369999,37.91,37.18,37.759998,1499700,37.143015
2015-08-07,37.299999,37.68,36.540001,37.049999,2446300,36.444617
2015-08-06,37.50,37.759998,36.990002,37.169998,2951700,36.562655
2015-08-05,37.43,37.82,37.43,37.470001,2913200,36.857756
2015-08-04,36.619999,37.209999,36.48,37.18,2250100,36.572494
2015-08-03,36.790001,36.91,36.27,36.599998,2351200,36.001969
2015-07-31,37.75,37.75,36.450001,36.73,1900400,36.129846
2015-07-30,37.009998,37.369999,36.91,37.259998,1433400,36.503637
2015-07-29,36.490002,37.07,36.43,36.98,2195100,36.229322
2015-07-28,36.529999,36.709999,36.299999,36.540001,1946700,35.798255
2015-07-27,36.720001,36.720001,35.91,36.25,2617400,35.514141
2015-07-24,37.32,37.419998,36.740002,36.98,2314000,36.229322
2015-07-23,37.400002,37.52,36.799999,37.209999,1867900,36.454653
2015-07-22,37.00,37.32,36.82,37.290001,4417300,36.533031
2015-07-21,38.00,38.68,37.459999,37.73,3482900,36.964097
2015-07-20,38.580002,38.720001,38.290001,38.360001,1808400,37.58131
2015-07-17,38.27,38.599998,38.099998,38.50,1863900,37.718467
2015-07-16,37.84,38.369999,37.599998,38.34,2171200,37.561715
2015-07-15,37.540001,37.799999,37.299999,37.450001,1963500,36.689782
2015-07-14,37.18,37.580002,36.959999,37.389999,1779300,36.630999
2015-07-13,37.080002,37.189999,36.939999,37.169998,2563800,36.415464
2015-07-10,36.860001,37.099998,36.400002,36.740002,2485600,35.994196
2015-07-09,36.50,36.720001,36.130001,36.290001,1768800,35.55333
2015-07-08,36.209999,36.41,35.830002,35.919998,2670600,35.190838
2015-07-07,36.880001,36.880001,35.98,36.650002,2314900,35.906023
2015-07-06,36.849998,37.029999,36.50,36.970001,2114400,36.219527
2015-07-02,37.34,37.34,36.860001,37.259998,1977400,36.503637
2015-07-01,37.23,37.720001,37.23,37.470001,3031600,36.709377
2015-06-30,37.110001,37.299999,36.470001,36.82,2537000,36.07257
2015-06-29,37.43,37.650002,36.720001,36.73,2654900,35.984397
2015-06-26,37.970001,38.200001,37.790001,38.150002,2098800,37.375574
2015-06-25,37.779999,38.00,37.490002,37.779999,1898900,37.013082
2015-06-24,37.939999,38.040001,37.50,37.610001,1212600,36.846534
2015-06-23,37.959999,38.209999,37.82,38.029999,2155500,37.258007
2015-06-22,37.41,37.82,37.400002,37.790001,2726700,37.022881
2015-06-19,37.380001,37.48,36.919998,37.09,2620200,36.33709
2015-06-18,38.150002,38.32,37.34,37.400002,3829900,36.640798
2015-06-17,38.299999,38.66,37.990002,38.060001,2148800,37.2874
2015-06-16,37.950001,38.419998,37.919998,38.299999,964200,37.522526
2015-06-15,37.939999,38.150002,37.540001,38.110001,1168000,37.336385
2015-06-12,38.48,38.68,38.150002,38.32,1549800,37.542121
2015-06-11,38.650002,38.91,38.490002,38.529999,1150800,37.747857
2015-06-10,38.66,38.919998,38.400002,38.59,1719200,37.80664
2015-06-09,38.32,38.450001,37.950001,38.400002,1283000,37.620499
2015-06-08,38.450001,38.75,38.009998,38.200001,3267300,37.424558
2015-06-05,38.689999,39.049999,38.310001,38.509998,3647300,37.728263
2015-06-04,37.990002,38.200001,37.599998,37.91,2484500,37.140444
2015-06-03,37.740002,38.48,37.57,38.25,2441500,37.473542
2015-06-02,37.040001,37.509998,36.68,37.400002,1911200,36.640798
2015-06-01,37.25,37.34,36.709999,36.959999,1415300,36.209728
2015-05-29,37.549999,37.709999,36.700001,37.150002,1866400,36.395873
2015-05-28,37.59,37.669998,37.360001,37.610001,1347900,36.846534
2015-05-27,37.110001,37.610001,36.84,37.560001,1252500,36.79755
2015-05-26,37.00,37.110001,36.75,36.93,1489500,36.180338
2015-05-22,37.02,37.290001,36.990002,37.080002,974000,36.327294
2015-05-21,37.110001,37.380001,36.939999,37.02,1126500,36.268511
2015-05-20,37.66,37.779999,37.240002,37.27,1240900,36.513436
2015-05-19,37.529999,38.139999,37.529999,37.700001,2182900,36.934708
2015-05-18,36.830002,37.68,36.810001,37.57,1626500,36.807345
2015-05-15,37.040001,37.209999,36.59,36.720001,1527500,35.974602
2015-05-14,36.57,37.169998,36.57,37.040001,2151700,36.288105
2015-05-13,36.810001,36.970001,36.509998,36.849998,1892800,36.10196
2015-05-12,37.00,37.18,36.610001,36.779999,2249700,36.033381
2015-05-11,36.540001,37.349998,36.509998,37.09,2938000,36.33709
